"Event","data","P_Auditel","P_PSKY","share","u_unique","TW_picco_min","TW_RTW_XF9_day","TW_RTW_XF9_dayafter","TW_RTW_XF9_2day","TW_XF9_day","RTW_XF9_day","TW_XF9_dayafter","RTW_XF9_dayafter","TW_XF9_2day","TW_RTW_XF9_week","TW_XF9_week","TRW_XF9_week","TW_XF9_week_declared"
1,"9/10/2015","1292000",1525000,"4.07",157500,"NA",19747,10953,30700,12306,7441,9354,1599,21660,,,,112500
2,"9/17/2015",1120000,1382000,"3.56",115500,"NA",54946,5474,60420,30059,24887,4785,689,34844,8422,5507,2915,70000
3,"9/24/2015",1287000,1520000,"3.72","NA",2000,69434,9246,78680,47403,22031,8384,862,55787,7109,4648,2461,95000
4,"10/1/2015",1121000,1430000,"3.35","NA",1000,55054,6947,62001,31998,23056,6040,907,38038,11482,8374,3108,69000
5,"10/8/2015",1215000,1490000,"3.59","NA",850,51550,5003,56553,29111,22439,4254,749,33365,9449,6190,3259,"NA"
6,"10/15/2015","NA",1453000,"NA","NA","NA",48176,4900,53076,26959,21217,3956,944,30915,8772,5315,3457,63500
7,"10/22/2015","NA",1323000,"NA",203300,3100,113213,16450,129663,61808,51405,13005,3445,74813,13871,10826,3045,155600
8,"10/29/2015",979435,1284668,"4.32",177600,1900,104406,20019,124425,55218,49188,14586,5433,69804,19891,17358,2533,139600
9,"11/5/2015",847546,1156047,"3.39",169600,1500,98018,17986,116004,52807,45212,14122,3864,66929,10883,8790,2093,130300
10,"11/12/2015",1033427,1210868,"4.19",174500,"NA",105559,13246,118805,57148,48411,10987,2259,68135,11829,8778,3051,136100
11,"11/19/2015",989858,1283972,"3.9",184300,1400,104951,12019,116970,54617,50334,9405,2614,64022,11350,8788,2562,137000
12,"11/26/2015",948581,"1207637","3.98",184900,1700,114256,18799,133055,63101,51155,15133,3665,78234,12408,9498,2910,173800
13,"12/3/2015","961000","1245000","3.89",183800,2200,117395,17021,134416,61333,56075,12968,4055,74301,15494,10593,4907,163000
14,"12/10/2015",1238624,1565000,"5.18","NA","NA",166903,58550,225453,86301,80602,45709,12841,132010,29555,23196,6359,"NA"
