"Channel Expo2015","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Presence",1,92,144442.1,41403.8,138039.5,139323.1,38037.6,85888,272785,186897,1.1,0.8,4316.6
"RTW_expo2015",2,92,3834.8,1228.8,3652.5,3693.4,851.8,2196,10438,8242,2.6,10.1,128.1
"TW_RTW_expo2015",3,92,7395,1763.1,7262.5,7275.9,1395.1,4239,15332,11093,1.7,5.9,183.8
"TW_expo2015",4,92,3560.2,644,3590.5,3550.8,569.3,1982,5686,3704,0.3,0.9,67.1
"RTW_4expo",6,92,63.6,44.8,71.5,61.8,56.3,2,207,205,0.3,-0.5,4.7
"RTW_Pad_Ita2015",7,92,159.7,59.9,156.5,155.3,62.3,52,335,283,0.7,0.1,6.2
"RTW_EUExpo2015",8,92,71.7,51.8,59.5,63.9,37.1,5,263,258,1.6,2.8,5.4
"RTW_ExpoinCitta",9,92,63.2,31.5,57,58.7,23.7,19,169,150,1.4,1.8,3.3
"RTW_askexpo",10,92,52.9,34,44.5,46.9,15.6,17,225,208,2.9,10.7,3.5
"RTW_RaiExpo",11,92,77.3,74,63,63,23.7,21,571,550,4.4,22.8,7.7
"RTW_ExpoMilano2015",12,92,130.4,51.4,119,125.2,45.2,37,325,288,1.2,2,5.4
"RTW_cartadimilano",13,92,56.6,61.9,38,43.3,16.3,15,478,463,4.4,23.5,6.5
"RTW_alberodellavita",14,92,34.4,41.6,25.5,25.4,16.3,5,316,311,4.2,22.3,4.3
"TW_RTW_4expo",15,92,69.5,46.4,76,67.4,60,6,242,236,0.5,0.2,4.8
"TW_RTW_Pad_Ita2015",16,92,203.3,77,194,196.8,81.5,79,430,351,0.8,0.4,8
"TW_RTW_EUExpo2015",17,92,97.9,66.5,80.5,87.4,44.5,15,342,327,1.7,3,6.9
"TW_RTW_ExpoinCitta",18,92,91.7,41.4,82,86.9,31.9,27,224,197,1.1,1.2,4.3
"TW_RTW_askexpo",19,92,210.7,72.6,199,202.2,49.7,99,441,342,1.3,2.2,7.6
"TW_RTW_RaiExpo",20,92,99.4,85.1,80.5,83.3,28.9,32,654,622,4.3,21.3,8.9
"TW_RTW_ExpoMilano2015",21,92,440.5,105.8,423.5,434.1,101.6,234,818,584,0.7,1,11
"TW_RTW_cartadimilano",22,92,69.3,74.7,47,53.4,20,18,581,563,4.4,23.9,7.8
"TW_RTW_alberodellavita",23,92,124,80.3,104,109.5,42.3,41,592,551,3,12.2,8.4
"expo2015_ratio",24,92,1.1,0.2,1,1.1,0.2,0.7,2.1,1.4,1.9,7.7,0
"askexpo_ratio",25,92,11.7,8.6,8.5,10.3,5.8,2.2,42,39.8,1.5,2.1,0.9
"alberodellavita_ratio",26,92,0.3,0.2,0.3,0.3,0.1,0.1,1.1,1.1,1.9,4.1,0
"RaiExpo_ratio",27,92,3.4,1.5,3.2,3.3,1.3,1.4,9.4,8,1.3,2,0.2
